"record_id","title","doi","source","duplicate","title_abstract_decision","full_text_decision","exclusion_reason","reviewer","decision_date"
"R063","Prediction and control of spatiotemporal chaos by <i>learning</i> conjugate tubular neighborhoods","10.1063/5.0181022","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R064","Crime Prediction using machine learning and Deep Learning technique","10.56452/7-5-199","Crossref","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R065","EMPIRICAL ANALYSIS FOR CRIME PREDICTION USING MACHINE LEARNING AND DEEP LEARNING TECHNIQUES","10.56726/irjmets82967","Crossref","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R066","Spatiotemporal analysis and machine learning-based prediction of air quality in Indian urban cities","10.35208/ert.1587308","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R067","Explainable Machine Learning-Based Urban Waterlogging Prediction Framework","10.3390/urbansci10030156","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R068","Crime rate prediction using machine learning","10.56726/irjmets89965","Crossref","no","include","not_retrieved","Full text not retrieved through open access","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R069","Spatiotemporal Analysis and Prediction of Crime Hotspots Using Artificial Intelligence and Machine Learning","10.33425/3066-1226.1260","Crossref","no","include","not_retrieved","Full text not retrieved through open access","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R070","Forecasting Urban Mobility: A Supervised Machine Learning Approach to Taxi Demand Prediction","10.70729/se26208203939","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R071","Crime analysis and prediction using machine Learning","10.56726/irjmets42307","Crossref","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R072","Spatiotemporal Modeling and Prediction of Urban Thermal Field Variation and Land Use Dynamics in Riyadh Using Machine Learning and Remote Sensing","10.3390/world7030049","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R073","Systematic Review of Machine Learning and Deep Learning Techniques for Spatiotemporal Air Quality Prediction","10.3390/atmos15111352","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R074","Evaluation of Crime rate Prediction Using Machine Learning and Deep Learning for GRA Method","10.46632/daai/4/3/3","Crossref","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R075","Spatiotemporal dynamics and urban-rural disparities of household carbon emissions in China: A prefecture-level analysis using interpretable machine learning","10.1016/j.uclim.2026.102784","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R076","Reliability-Oriented Spatiotemporal Machine Learning for High-Impact Power Outage Event Prediction","10.58491/2735-4202.3489","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R077","Explainable AI for Urban Real-Estate Prediction: A Machine-Learning Framework for Urban Decision Support","10.3390/urbansci10060315","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R078","Research on Crime Occurrence Prediction Using Machine Learning Methods—Considering Four Types of Crime in Chicago","10.25236/ijndes.2025.090102","Crossref","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R079","Federated Spatiotemporal Deep Learning for Privacy-Preserving Urban Traffic Flow Prediction","10.64972/jaat.2025v3.230p34e:461-475","Crossref","no","exclude","not_sought","Outside scope according to title; documented automated rule","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R080","Optimizing Crime Prediction: Performance Comparison of 13 Machine Learning Models on Urban Crime Data","10.62527/joiv.10.3.4770","Crossref","no","include","exclude","Secondary review, insufficient scope, or unverifiable validation","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
"R081","Incorporating park events into crime hotspot prediction on street networks: A spatiotemporal graph learning approach","10.1016/j.asoc.2023.110886","Crossref","no","include","not_retrieved","Full text not retrieved through open access","Enrique Lee Huamani Uriarte; initial screening assisted by documented rules","2026-08-09"
